red,q,L_perfilada,BIC_like_menor_mejor,modularidad_diagnostica
G1 completa,2,-135.26407925606867,274.8322236053415,0.4558071585098613
G1 completa,3,-118.62854692262997,250.16928912487245,0.017531044558071612
G1 completa,4,-112.52694736240437,250.87828528403378,-0.24543462381300218
G1 completa,5,-110.73357535424148,264.5078016405247,-0.04346238130021915
G_mini,2,-68.36860081534476,140.5213912646078,0.48347107438016534
G_mini,3,-59.357687468065464,130.0679438378857,0.06714876033057854
G_mini,4,-55.677045396380485,134.05922859627054,-0.21384297520661158
G_mini,5,-54.51865814553025,146.8792126302431,-0.1425619834710744
