nodo,grado
NVDA,5
AMD,4
MA,4
PLTR,4
AAPL,3
AMZN,3
MSFT,3
ORCL,3
V,3
BAC,2
COST,2
GOOGL,2
HD,2
TSLA,2
WMT,2
