"Global: valor agregado dirigido hacia Estados Unidos y China contenido en la producción por país (2022)"
"","","a) % del valor agregado total ","b) % del valor agregado dirigido hacia el extranjero","c) % del valor agregado dirigido hacia EUA y China"
"Región","País","Estados Unidos","China","Estados Unidos","China","Estados Unidos","China"
"África","SEN","0.94","1.17","5.29","6.64","44.32","55.68"
"África","NGA","1.34","0.25","10.61","1.96","84.40","15.60"
"África","ZAF","1.82","4.31","7.32","17.35","29.66","70.34"
"África","TUN","1.86","0.60","5.69","1.83","75.66","24.34"
"África","EGY","1.21","0.69","8.91","5.08","63.67","36.33"
"África","CIV","1.48","0.83","8.56","4.80","64.08","35.92"
"África","MAR","1.98","0.97","6.26","3.06","67.15","32.85"
"África","CMR","0.82","1.81","4.44","9.75","31.28","68.72"
"América Latina","ARG","1.45","1.21","9.49","7.90","54.57","45.43"
"América Latina","CHL","4.75","11.25","16.09","38.12","29.68","70.32"
"América Latina","PER","3.01","9.70","11.45","36.94","23.66","76.34"
"América Latina","BRA","2.27","4.88","12.89","27.74","31.72","68.28"
"América Latina","COL","5.12","1.98","28.92","11.16","72.16","27.84"
"América Latina","CRI","8.97","2.38","28.10","7.46","79.03","20.97"
"América Nte.","MEX","14.64","1.01","64.10","4.40","93.57","6.43"
"América Nte.","CAN","16.34","1.74","64.08","6.81","90.39","9.61"
"Asia","KHM","7.66","2.85","16.12","6.01","72.86","27.14"
"Asia","LAO","0.89","10.75","2.09","25.40","7.62","92.38"
"Asia","MMR","0.81","7.64","3.35","31.58","9.59","90.41"
"Asia","VNM","12.41","9.08","27.84","20.38","57.74","42.26"
"Asia","HKG","2.68","5.27","10.55","20.73","33.73","66.27"
"Asia","PAK","1.75","0.76","19.86","8.65","69.65","30.35"
"Asia","IDN","2.14","5.71","9.83","26.19","27.29","72.71"
"Asia","PHL","3.30","3.79","15.86","18.19","46.58","53.42"
"Asia","KAZ","1.75","7.04","4.91","19.71","19.93","80.07"
"Asia","THA","6.03","6.39","15.00","15.90","48.53","51.47"
"Asia","BGD","2.34","0.25","22.55","2.45","90.20","9.80"
"Asia","MYS","4.99","11.85","10.55","25.07","29.62","70.38"
"Asia","BRN","0.17","1.47","0.32","2.83","10.25","89.75"
"Asia","KOR","4.42","6.83","15.81","24.40","39.31","60.69"
"Asia","IND","3.62","1.00","21.86","6.03","78.38","21.62"
"Asia","TWN","6.48","17.23","14.41","38.32","27.32","72.68"
"Asia","JPN","2.92","3.45","17.23","20.37","45.82","54.18"
"Asia","SGP","7.42","9.42","10.91","13.84","44.09","55.91"
"Europa","BLR","0.78","2.47","1.89","5.95","24.08","75.92"
"Europa","CZE","1.64","1.06","4.11","2.65","60.78","39.22"
"Europa","RUS","1.11","4.19","4.33","16.38","20.90","79.10"
"Europa","SVK","2.07","2.08","5.23","5.26","49.83","50.17"
"Europa","EST","3.26","0.83","7.08","1.81","79.60","20.40"
"Europa","POL","1.61","0.74","4.23","1.93","68.65","31.35"
"Europa","BGR","1.90","1.40","4.66","3.42","57.68","42.32"
"Europa","ROU","1.27","0.76","4.55","2.72","62.62","37.38"
"Europa","UKR","0.78","1.62","3.53","7.35","32.47","67.53"
"Europa","SVN","2.50","0.98","5.27","2.07","71.75","28.25"
"Europa","HUN","2.68","1.57","6.20","3.62","63.12","36.88"
"Europa","ESP","2.32","1.17","8.24","4.15","66.49","33.51"
"Europa","ITA","2.89","1.40","11.13","5.37","67.47","32.53"
"Europa","GRC","3.40","1.15","11.45","3.89","74.64","25.36"
"Europa","HRV","3.85","1.86","10.64","5.12","67.49","32.51"
"Europa","PRT","3.34","1.46","10.40","4.55","69.55","30.45"
"Europa","LVA","2.25","0.71","5.70","1.80","75.99","24.01"
"Europa","AUT","3.03","1.66","8.35","4.59","64.56","35.44"
"Europa","LTU","2.30","0.33","5.17","0.75","87.35","12.65"
"Europa","NOR","2.66","6.56","5.25","12.96","28.82","71.18"
"Europa","FRA","2.20","1.57","8.97","6.41","58.32","41.68"
"Europa","DEU","2.98","2.37","9.22","7.35","55.66","44.34"
"Europa","FIN","2.24","1.96","7.86","6.90","53.27","46.73"
"Europa","DNK","4.72","1.91","10.86","4.38","71.24","28.76"
"Europa","SWE","3.19","1.98","9.17","5.68","61.76","38.24"
"Europa","CHE","7.24","2.54","16.89","5.93","74.02","25.98"
"Europa","GBR","4.08","1.41","16.07","5.55","74.32","25.68"
"Europa","ISL","5.28","1.75","15.88","5.25","75.14","24.86"
"Europa","NLD","2.31","1.21","5.96","3.13","65.58","34.42"
"Europa","MLT","3.80","5.10","6.41","8.60","42.69","57.31"
"Europa","BEL","3.93","0.96","9.66","2.37","80.30","19.70"
"Europa","LUX","2.50","1.11","3.76","1.66","69.36","30.64"
"Europa","IRL","16.63","4.14","23.15","5.76","80.09","19.91"
"Medio Oriente","JOR","5.00","1.91","19.38","7.42","72.30","27.70"
"Medio Oriente","TUR","2.40","1.06","8.94","3.95","69.35","30.65"
"Medio Oriente","SAU","2.49","6.19","6.72","16.67","28.72","71.28"
"Medio Oriente","ISR","5.48","1.96","21.16","7.58","73.63","26.37"
"Medio Oriente","CYP","1.93","2.15","4.30","4.78","47.31","52.69"
"Otros","AUS","0.92","6.96","3.94","29.66","11.72","88.28"
"Otros","NZL","2.31","5.23","11.66","26.40","30.64","69.36"
"Otros","ROW","2.63","6.04","9.47","21.75","30.34","69.66"
"Fuente: Elaborado por el Banco de México con información de la OCDE."
""
