comunidad,grupo_notacion,nodos,aristas_internas,aristas_frontera,kappa_suma_grados,miembros
C0,1,6,0,37,70.0,"DARTH SIDIOUS, ELAN, PADMÉ, SHMI, WATTO, ZAM WESSEL"
C1,2,13,12,31,73.0,"BERU, CLIEGG, JOBAL, NUTE GUNRAY, OWEN, POGGLE, QUEEN JAMILLIA, RUWEE, RYOO & POOJA, SIO BIBBLE, SOLA, SUN RIT, THREEPIO"
C2,3,2,0,31,59.0,"DOOKU, OBI-WAN"
C3,4,2,1,31,69.0,"ANAKIN, COUNT DOOKU"
C4,5,9,8,11,35.0,"BOBA FETT, DEXTER JETTSTER, HERMIONE BAGWA, JANGO, JANGO FETT, JOCASTA NU, LAMA SU, PK-4, TAUN WE"
C5,6,15,41,31,158.0,"AMIDALA, BAIL ORGANA, CAPTAIN TYPHO, CHILDREN, DORME, JAR JAR, KI-ADI-MUNDI, MACE, MACE WINDU, MAS AMEDDA, ORN FREE TAA, PALPATINE, SENATOR ASK AAK, WINDU, YODA"
