personaje,grado,componente
PADMÉ,30,0
OBI-WAN,29,0
ANAKIN,24,0
YODA,14,0
MACE WINDU,13,0
JAR JAR,11,0
PALPATINE,11,0
MAS AMEDDA,10,0
SENATOR ASK AAK,10,0
BAIL ORGANA,9,0
COUNT DOOKU,9,0
AMIDALA,6,0
CAPTAIN TYPHO,6,0
JANGO FETT,6,0
NUTE GUNRAY,6,0
ORN FREE TAA,6,0
POGGLE,6,0
SUN RIT,6,0
BERU,5,0
KI-ADI-MUNDI,5,0
OWEN,5,0
TAUN WE,5,0
BOBA FETT,4,0
CLIEGG,4,0
DORME,4,0
JANGO,4,0
JOBAL,4,0
RUWEE,4,0
SOLA,4,0
MACE,3,0
QUEEN JAMILLIA,3,0
SIO BIBBLE,3,0
THREEPIO,3,0
WINDU,3,0
CHILDREN,2,0
DEXTER JETTSTER,2,0
DOOKU,2,0
ELAN,2,0
HERMIONE BAGWA,2,0
LAMA SU,2,0
RYOO & POOJA,2,0
ZAM WESSEL,2,0
DARTH SIDIOUS,1,0
JOCASTA NU,1,0
PK-4,1,0
SHMI,1,0
WATTO,1,0
